21.234, 0.454
644.069, 0.735
997.419, 0.741
1531.900, 0.742
2335.441, 0.716
2558.585, 0.685
2762.575, 0.645
3003.563, 0.559
3229.627, 0.508
3457.265, 0.491
3913.824, 0.483
4370.552, 0.479
4827.439, 0.478
5201.255, 0.477
5907.350, 0.476
7077.845, 0.477
8166.644, 0.467
8586.088, 0.465
9873.431, 0.457
10484.079, 0.480
10890.928, 0.453
11361.483, 0.448
11804.599, 0.449
12261.306, 0.445
12713.206, 0.436
13174.687, 0.435
13631.607, 0.434
14088.276, 0.429
14544.929, 0.423
14984.942, 0.417
15458.184, 0.410
15901.527, 0.416
16367.907, 0.411
16828.757, 0.406
17119.483, 0.405
