-16.079, 0.456
296.217, 0.731
891.862, 0.760
1310.363, 0.771
1767.626, 0.778
2224.755, 0.782
2681.861, 0.786
3138.855, 0.788
3595.813, 0.788
4260.556, 0.791
4717.458, 0.791
5174.396, 0.791
5631.304, 0.790
6088.203, 0.790
6545.057, 0.788
7001.933, 0.787
7458.726, 0.784
7915.471, 0.781
8372.042, 0.773
8828.522, 0.764
9284.871, 0.751
9741.212, 0.739
10197.493, 0.725
10653.798, 0.712
11068.459, 0.696
11483.192, 0.682
11918.629, 0.667
12354.116, 0.653
12810.466, 0.640
13266.871, 0.629
13723.380, 0.620
14179.869, 0.611
14636.422, 0.603
15092.967, 0.595
15549.555, 0.588
16006.135, 0.580
16462.774, 0.574
16919.419, 0.568
17376.064, 0.562
17832.760, 0.557
