-16.108, 0.456
52.820, 0.527
95.919, 0.561
97.024, 0.584
118.931, 0.609
140.318, 0.622
162.111, 0.644
183.807, 0.664
205.454, 0.682
226.971, 0.698
248.472, 0.714
478.177, 0.741
689.935, 0.753
974.652, 0.766
1435.381, 0.779
1892.590, 0.785
2349.655, 0.788
2806.708, 0.791
3263.651, 0.791
3720.562, 0.791
4177.337, 0.788
4633.917, 0.781
5027.912, 0.767
5317.921, 0.751
5524.877, 0.735
5690.211, 0.718
5828.719, 0.698
5941.824, 0.680
6057.353, 0.663
6123.006, 0.646
6221.817, 0.627
6308.100, 0.607
6390.324, 0.589
6472.564, 0.571
6534.103, 0.554
6632.946, 0.536
6719.351, 0.518
6854.569, 0.503
6962.799, 0.487
7497.222, 0.519
7944.210, 0.507
8442.315, 0.499
8939.931, 0.481
9396.589, 0.476
9853.545, 0.476
10310.334, 0.473
10767.000, 0.468
11223.915, 0.468
11664.008, 0.463
12049.957, 0.465
12635.958, 0.462
13300.534, 0.461
13757.184, 0.455
14214.145, 0.456
14671.047, 0.455
15158.881, 0.450
15584.662, 0.450
16041.513, 0.449
16498.344, 0.447
16955.190, 0.445
17411.980, 0.442
17848.122, 0.442
