2.607, 0.456
333.091, 0.719
794.003, 0.743
1268.118, 0.756
1725.419, 0.764
2182.572, 0.769
2639.661, 0.772
3096.728, 0.775
3553.772, 0.778
4010.780, 0.779
4384.643, 0.780
4966.247, 0.781
5423.143, 0.780
5880.081, 0.781
6337.042, 0.781
6793.950, 0.781
7250.878, 0.781
7603.930, 0.781
8330.826, 0.780
8787.728, 0.779
9244.559, 0.777
9701.502, 0.778
10158.375, 0.777
10615.259, 0.776
11072.140, 0.775
11528.977, 0.773
11985.900, 0.773
12442.761, 0.772
12899.621, 0.770
13356.494, 0.769
13813.396, 0.769
14270.248, 0.767
14727.129, 0.766
15183.978, 0.764
15640.815, 0.763
16097.652, 0.761
16554.501, 0.759
17011.361, 0.758
17468.184, 0.755
17883.546, 0.755
17991.492, 0.399
