-16.941, 0.457
50.152, 0.500
112.100, 0.552
157.001, 0.598
159.704, 0.642
230.977, 0.673
414.992, 0.722
744.445, 0.735
1078.156, 0.731
1411.795, 0.719
1689.250, 0.701
1825.536, 0.684
1866.409, 0.670
1969.329, 0.650
2068.045, 0.629
2123.263, 0.611
2232.614, 0.595
2318.857, 0.574
2438.409, 0.555
2612.821, 0.531
2855.967, 0.512
3146.030, 0.497
3415.103, 0.477
3871.709, 0.470
4364.518, 0.468
4785.162, 0.462
5242.158, 0.463
5699.182, 0.466
6156.143, 0.466
6612.915, 0.463
7069.651, 0.459
7526.544, 0.458
7983.506, 0.459
8440.162, 0.453
8896.940, 0.450
9353.830, 0.449
9810.459, 0.443
10230.397, 0.453
10723.889, 0.434
11181.265, 0.444
11632.684, 0.453
12027.827, 0.454
12494.287, 0.452
12804.816, 0.439
13132.637, 0.424
13589.471, 0.422
14046.199, 0.417
14502.977, 0.414
14680.738, 0.409
15138.894, 0.411
15500.290, 0.422
15956.964, 0.417
16413.493, 0.409
16832.270, 0.413
17203.514, 0.425
17660.388, 0.424
17971.855, 0.423
